School_Name,School_Grade,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,Enrol_TOT,PCT_AmInd,PCT_Asian,PCT_Black,PCT_hisp,PCT_White,PCT_PI,PCT_2ormore,PCT_FREE_MEAL,PCT_Single_Family,PCT_More_than_INCOME_60000,EDU_Population35to44years_Bachelorsdegreeorhigher,EDU_Population45to64years_Bachelorsdegreeorhigher,City,Zipcode,Address
'RYAN ELEMENTARY SCHOOL',9,7,6,6,6,9,9,10,12,6,450,0.002222,0.044444,0.008889,0.235556,0.684444,0.002222,0.022222,0.2986,0.255484,0.660125,0.604,0.506,WESTMINSTER,80020,5851 WEST 115TH AVENUE
'SANCHEZ ELEMENTARY SCHOOL',5,3,3,1,2,4,6,9,5,5,332,0.009036,0.018072,0.009036,0.671687,0.256024,0,0.036145,0.7535,0.255484,0.660125,0.604,0.506,LAFAYETTE,80026,655 SIR GALAHAD DRIVE
'SOUTHERN HILLS MIDDLE SCHOOL',12,12,12,12,12,12,10,9,9,9,535,0.005607,0.061682,0.001869,0.076636,0.794393,0,0.059813,0.0449,0.176255,0.793314,0.862,0.767,BOULDER,80305,1500 KNOX DRIVE
'SUMMIT MIDDLE CHARTER SCHOOL',12,13,13,13,13,13,9,7,9,11,334,0,0.158683,0.008982,0.041916,0.718563,0,0.071856,0.0359,0.176255,0.793314,0.862,0.767,BOULDER,80305,4655 HANOVER AVENUE
'SUPERIOR ELEMENTARY SCHOOL',13,12,12,12,12,13,12,12,10,12,573,0.001745,0.108202,0,0.04712,0.767888,0,0.075044,0.0297,0.130251,0.842212,0.832,0.721,SUPERIOR,80027,1800 SOUTH INDIANA ST.
'UNIVERSITY HILL ELEMENTARY SCHOOL',5,6,6,6,6,6,5,6,1,7,400,0.0025,0.0025,0.0075,0.6475,0.3125,0,0.0275,0.523,0.112594,0.749194,0.772,0.71,BOULDER,80302,956  16TH STREET
'WHITTIER ELEMENTARY SCHOOL',9,6,6,7,6,9,10,6,12,8,394,0.002538,0.063452,0.030457,0.27665,0.588832,0.005076,0.032995,0.3579,0.112594,0.749194,0.772,0.71,BOULDER,80302,2008 PINE STREET
'BRANSON SCHOOL ONLINE',5,6,7,7,6,7,3,3,5,5,409,0.01956,0.007335,0.046455,0.239609,0.640587,0.002445,0.04401,0.1614,0,0.25,0.7,0.556,BRANSON,81027,101 SADDLE ROCK DRIVE
'BRANSON SCHOOL ONLINE',6,6,8,6,6,6,4,6,3,6,409,0.01956,0.007335,0.046455,0.239609,0.640587,0.002445,0.04401,0.1614,0,0.25,0.7,0.556,BRANSON,81027,101 SADDLE ROCK DRIVE
'BRANSON SCHOOL ONLINE',4,6,7,6,6,6,6,7,6,6,409,0.01956,0.007335,0.046455,0.239609,0.640587,0.002445,0.04401,0.1614,0,0.25,0.7,0.556,BRANSON,81027,101 SADDLE ROCK DRIVE
'BRIGGSDALE ELEMENTARY SCHOOL',9,9,7,9,9,9,7,6,7,6,70,0.014286,0.042857,0,0.014286,0.914286,0,0.014286,0.3934,0.246479,0.648889,0.134,0.215,BRIGGSDALE,80611,515 LESLIE STREET
'BRIGGSDALE UNDIVIDED HIGH SCHOOL',6,7,8,6,6,9,5,6,6,5,86,0,0.046512,0,0.104651,0.848837,0,0,0.4419,0.246479,0.648889,0.134,0.215,BRIGGSDALE,80611,515 LESLIE STREET
'BRIGGSDALE UNDIVIDED HIGH SCHOOL',10,9,9,8,8,13,9,9,12,6,86,0,0.046512,0,0.104651,0.848837,0,0,0.4419,0.246479,0.648889,0.134,0.215,BRIGGSDALE,80611,515 LESLIE STREET
'BELLE CREEK CHARTER SCHOOL',6,6,6,6,6,6,6,6,6,5,699,0.008584,0.014306,0.031474,0.406295,0.51216,0.002861,0.02432,0.3205,0.21797,0.707968,0.327,0.109,HENDERSON,80640,9290 EAST 107TH AVENUE
'BELLE CREEK CHARTER SCHOOL',9,6,6,6,6,6,9,10,9,6,699,0.008584,0.014306,0.031474,0.406295,0.51216,0.002861,0.02432,0.3205,0.21797,0.707968,0.327,0.109,HENDERSON,80640,9290 EAST 107TH AVENUE
'BRIGHTON HIGH SCHOOL',5,5,5,6,5,6,5,4,6,5,1653,0.00605,0.012099,0.00605,0.493648,0.465215,0.00363,0.013309,0.2129,0.200756,0.583079,0.192,0.165,BRIGHTON,80601,270 SOUTH 8TH AVENUE
'BROMLEY EAST CHARTER SCHOOL',6,6,7,6,6,7,5,5,6,5,923,0.002167,0.014085,0.005417,0.295775,0.654388,0.002167,0.026002,0.2522,0.200756,0.583079,0.192,0.165,BRIGHTON,80601,356 LONGSPUR DRIVE
'BROMLEY EAST CHARTER SCHOOL',5,6,6,5,6,6,5,6,5,3,923,0.002167,0.014085,0.005417,0.295775,0.654388,0.002167,0.026002,0.2522,0.200756,0.583079,0.192,0.165,BRIGHTON,80601,356 LONGSPUR DRIVE
'EAGLE RIDGE ACADEMY',8,9,9,8,8,7,8,6,8,9,302,0.009934,0.019868,0.013245,0.337748,0.596026,0.003311,0.019868,0.2649,0.200756,0.583079,0.192,0.165,BRIGHTON,80601,3551 SOUTHERN STREET
'FOUNDATIONS ACADEMY',6,7,8,6,6,6,5,6,6,3,581,0.003442,0.005164,0.008606,0.204819,0.759036,0,0.018933,0.1308,0.200756,0.583079,0.192,0.165,BRIGHTON,80601,340 SOUTH 45TH AVENUE
'HENDERSON ELEMENTARY SCHOOL',6,6,5,6,6,5,5,1,7,6,532,0.005639,0.020677,0.015038,0.413534,0.520677,0.003759,0.020677,0.4976,0.21797,0.707968,0.327,0.109,HENDERSON,80640,12301 EAST 124TH AVENUE
'JOHN W THIMMIG ELEMENTARY SCHOOL',6,6,6,6,6,8,6,6,6,6,599,0.008347,0.038397,0.006678,0.462437,0.457429,0.001669,0.025042,0.3306,0.21797,0.707968,0.327,0.109,HENDERSON,80640,11453 OSWEGO STREET
'LANDMARK ACADEMY AT REUNION',9,7,7,8,8,6,6,6,7,6,695,0.002878,0.014388,0.01295,0.205755,0.730935,0.001439,0.031655,0.0964,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,10566 MEMPHIS STREET
'LANDMARK ACADEMY AT REUNION',10,9,8,9,9,7,10,9,9,10,695,0.002878,0.014388,0.01295,0.205755,0.730935,0.001439,0.031655,0.0964,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,10566 MEMPHIS STREET
'MARY E PENNOCK ELEMENTARY SCHOOL',6,6,6,6,7,6,6,5,7,6,712,0.007022,0.018258,0.008427,0.442416,0.48736,0.001404,0.035112,0.4073,0.200756,0.583079,0.192,0.165,BRIGHTON,80601,3707 ESTRELLA STREET
'NORTH ELEMENTARY SCHOOL',3,3,3,3,3,1,5,5,5,5,402,0.004975,0.007463,0.007463,0.850746,0.116915,0.002488,0.00995,0.8,0.200756,0.583079,0.192,0.165,BRIGHTON,80601,89 NORTH 6TH AVENUE
'NORTHEAST ELEMENTARY SCHOOL',3,6,6,5,6,5,4,5,6,1,587,0.008518,0.001704,0.003407,0.630324,0.335605,0,0.020443,0.6474,0.200756,0.583079,0.192,0.165,PARKER,80134,6598 NORTH STATE HIGHWAY 83
'OTHO E STUART MIDDLE SCHOOL',5,5,5,5,5,6,4,5,5,5,589,0.006791,0.039049,0.059423,0.395586,0.471986,0.001698,0.025467,0.365,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,15955 EAST 101ST WAY
'OVERLAND TRAIL MIDDLE SCHOOL',4,5,5,6,5,6,5,5,6,2,655,0.00458,0.006107,0.007634,0.552672,0.41374,0.001527,0.01374,0.4916,0.200756,0.583079,0.192,0.165,BRIGHTON,80601,455 NORTH 19TH AVENUE
'PRAIRIE VIEW HIGH SCHOOL',5,5,6,6,5,5,5,4,6,3,1642,0.007308,0.045676,0.03715,0.403776,0.478685,0.001827,0.025579,0.3337,0.21797,0.707968,0.327,0.109,HENDERSON,80640,12909 E 120TH AVE
'PRAIRIE VIEW MIDDLE SCHOOL',5,5,5,6,5,6,3,3,5,3,768,0.003906,0.027344,0.018229,0.450521,0.473958,0.001302,0.02474,0.4323,0.21797,0.707968,0.327,0.109,HENDERSON,80640,12915 EAST 120TH AVENUE
'SECOND CREEK ELEMENTARY SCHOOL',1,6,6,6,6,6,2,3,3,2,639,0.00313,0.048513,0.037559,0.41471,0.43975,0,0.056338,0.3074,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,9950 LAREDO DRIVE
'SOUTH ELEMENTARY SCHOOL',7,6,6,6,6,5,6,5,5,12,589,0.003396,0.001698,0.003396,0.760611,0.219015,0.001698,0.010187,0.6723,0.200756,0.583079,0.192,0.165,BRIGHTON,80601,305 SOUTH 5TH AVENUE
'SOUTHEAST ELEMENTARY SCHOOL',9,6,6,6,6,5,9,7,12,7,628,0.004777,0.006369,0.015924,0.506369,0.447452,0,0.019108,0.4757,0.200756,0.583079,0.192,0.165,BRIGHTON,80601,1595 SOUTHERN STREET
'TURNBERRY ELEMENTARY',7,6,6,6,6,5,9,9,7,12,782,0.006394,0.026854,0.021739,0.350384,0.553708,0.002558,0.038363,0.2829,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,13069 EAST 106TH PLACE
'VIKAN MIDDLE SCHOOL',6,6,6,6,6,6,5,5,4,4,552,0.009058,0.009058,0.01087,0.632246,0.320652,0.001812,0.016304,0.6105,0.200756,0.583079,0.192,0.165,BRIGHTON,80601,879 JESSUP STREET
'WEST RIDGE ELEMENTARY',9,9,9,9,9,6,9,7,9,7,887,0.005637,0.098083,0.005637,0.243517,0.606539,0.002255,0.038331,0.1978,0.128214,0.815745,0.482,0.333,THORNTON,80602,13102 MONACO STREET
'BEAVER VALLEY ELEMENTARY SCHOOL',3,6,5,5,6,6,3,5,5,2,327,0.003058,0.009174,0.003058,0.510703,0.461774,0,0.012232,0.6055,0.30064,0.343595,0.13,0.197,BRUSH,80723,420 GLACIER AVENUE
'BRUSH HIGH SCHOOL',6,6,6,6,6,6,6,6,8,5,447,0,0.002237,0.011186,0.49217,0.474273,0,0.020134,0.4318,0.30064,0.343595,0.13,0.197,BRUSH,80723,400 WEST ROAD
'BRUSH MIDDLE SCHOOL',6,6,6,6,6,5,6,6,6,6,343,0.002915,0,0.005831,0.501458,0.463557,0,0.026239,0.5743,0.30064,0.343595,0.13,0.197,BRUSH,80723,401 HOWARD
'AVERY/PARSONS ELEMENTARY SCHOOL',6,6,6,6,7,6,3,6,1,6,461,0.002169,0.006508,0.006508,0.08243,0.874187,0,0.0282,0.4589,0.185148,0.49039,0.357,0.418,BUENA VISTA,81211,516 EAST MAIN STREET
'BUENA VISTA HIGH SCHOOL',12,9,8,7,9,9,12,12,12,12,294,0.006803,0.003401,0.010204,0.119048,0.843537,0,0.017007,0.3333,0.185148,0.49039,0.357,0.418,BUENA VISTA,81211,RAILROAD & MARQUETTE
'HARRY L MC GINNIS MIDDLE SCHOOL',6,6,6,6,6,7,6,6,8,6,208,0.033654,0.014423,0,0.096154,0.841346,0,0.014423,0.4904,0.185148,0.49039,0.357,0.418,BUENA VISTA,81211,SOUTH RAILROAD & MARQUETTE
'MERINO ELEMENTARY SCHOOL',6,7,7,7,9,6,6,6,6,6,155,0.019355,0,0.025806,0.077419,0.877419,0,0,0.3226,0.262626,0.493776,0.363,0.221,MERINO,80741,315 LEE
'MERINO JUNIOR SENIOR HIGH SCHOOL',5,7,6,7,6,6,3,6,6,1,154,0,0.012987,0.038961,0.097403,0.824675,0,0.025974,0.3247,0.262626,0.493776,0.363,0.221,MERINO,80741,315 LEE
'MERINO JUNIOR SENIOR HIGH SCHOOL',8,9,6,8,8,7,5,6,5,5,154,0,0.012987,0.038961,0.097403,0.824675,0,0.025974,0.3247,0.262626,0.493776,0.363,0.221,MERINO,80741,315 LEE
'BURLINGTON ELEMENTARY SCHOOL',8,6,6,6,6,6.718607,9,3,13,12,445,0,0.038202,0.006742,0.260674,0.665169,0.006742,0.022472,0.4082,0.354485,0.433758,0.334,0.283,BURLINGTON,80807,450 11TH STREET
'BURLINGTON HIGH SCHOOL',3,3,3,5,3,3,1,3,1,3,225,0,0.004444,0.008889,0.351111,0.635556,0,0,0.4444,0.262799,0.477528,0.075,0.218,BURLINGTON,80807,380 MIKE LOUNGE DRIVE
'BURLINGTON MIDDLE SCHOOL',1,5,5,5,6,6,1,1,1,1,242,0.008264,0,0.008264,0.305785,0.673554,0,0.004132,0.5661,0.262799,0.477528,0.075,0.218,BURLINGTON,80807,2600 ROSE AVENUE
'BURLINGTON MIDDLE SCHOOL',5,6,6,6,6,5,5,6,5,6,242,0.008264,0,0.008264,0.305785,0.673554,0,0.004132,0.5661,0.262799,0.477528,0.075,0.218,BURLINGTON,80807,2600 ROSE AVENUE
'BYERS ELEMENTARY SCHOOL',6,6,6,6,6,6,3,1,6,5,273,0,0.010989,0.003663,0.113553,0.835165,0.003663,0.032967,0.533,0.117764,0.595129,0.171,0.142,BYERS,80103,444 EAST FRONT STREET
'BYERS JUNIOR-SENIOR HIGH SCHOOL',5,6,6,6,6,6,5,1,7,6,221,0,0,0.013575,0.090498,0.877828,0,0.0181,0.3484,0.117764,0.595129,0.171,0.142,BYERS,80103,444 EAST FRONT STREET
'BYERS JUNIOR-SENIOR HIGH SCHOOL',10,7,8,6,7,6,10,13,6,11,221,0,0,0.013575,0.090498,0.877828,0,0.0181,0.3484,0.117764,0.595129,0.171,0.142,BYERS,80103,444 EAST FRONT STREET
'CALHAN ELEMENTARY SCHOOL',5,6,6,6,6,6,2,6,1,5,229,0,0.008734,0.021834,0.087336,0.860262,0,0.021834,0.4853,0.095166,0.500613,0.125,0.212,CALHAN,80808,800 BULLDOG DRIVE
'CALHAN HIGH SCHOOL',9,7,7,6,9,9,9,9,6,12,172,0,0.02907,0.017442,0.075581,0.831395,0,0.046512,0.4012,0.095166,0.500613,0.125,0.212,CALHAN,80808,800 BULLDOG DRIVE
'CALHAN MIDDLE SCHOOL',6,6,6,7,6,7,6,6,6,6,125,0,0,0,0.096,0.88,0,0.024,0.432,0.095166,0.500613,0.125,0.212,CALHAN,80808,800 BULLDOG DRIVE
'CAMPO UNDIVIDED HIGH SCHOOL',3,5,6,6,1,6.718607,3,3,2,6,28,0,0,0,0.035714,0.964286,0,0,0.7143,0.290909,0.166667,0.053,0.194,CAMPO,81029,480 MAPLE STREET
'CANON CITY HIGH SCHOOL',2,6,6,6,6,6,1,1,2,2,1090,0.005505,0.010092,0.011009,0.122018,0.830275,0.001835,0.019266,0.4229,0.227854,0.394269,0.135,0.206,CANON CITY,81212,1313 COLLEGE
'CANON CITY MIDDLE SCHOOL',6,6,6,6,6,6,5,6,4,4,416,0.002404,0.002404,0.009615,0.086538,0.865385,0,0.033654,0.5529,0.227854,0.394269,0.135,0.206,CANON CITY,81212,1215 MAIN STEEET
'HARRISON SCHOOL',7,7,9,8,6,6,7,7,9,5,677,0.014771,0.002954,0.005908,0.109306,0.850812,0.002954,0.013294,0.6071,0.227854,0.394269,0.135,0.206,CANON CITY,81212,920 FIELD AVENUE
'HARRISON SCHOOL',6,6,6,6,6,11,6,7,5,6,677,0.014771,0.002954,0.005908,0.109306,0.850812,0.002954,0.013294,0.6071,0.227854,0.394269,0.135,0.206,CANON CITY,81212,920 FIELD AVENUE
'LINCOLN ELEMENTARY SCHOOL',8,6,6,7,6,9,12,9,10,12,532,0.00188,0.005639,0.00188,0.332707,0.640977,0,0.016917,0.6372,0.25824,0.422535,0.179,0.2,LOVELAND,80538,3312 NORTH DOUGLAS AVENUE
'MCKINLEY ELEMENTARY SCHOOL',1,6,6,6,6,6,1,1,1,2,279,0.003584,0,0.010753,0.125448,0.83871,0.007168,0.014337,0.5448,0.227854,0.394269,0.135,0.206,CANON CITY,81212,1240 MC KINLEY STREET
'MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL',7,9,9,8,9,6,6,6,6,6,240,0.004167,0.020833,0,0.104167,0.8375,0.004167,0.029167,0.3083,0.227854,0.394269,0.135,0.206,CANON CITY,81212,809 FIELD AVENUE
'MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL',10,9,9,7,9,7,11,10,9,12,240,0.004167,0.020833,0,0.104167,0.8375,0.004167,0.029167,0.3083,0.227854,0.394269,0.135,0.206,CANON CITY,81212,809 FIELD AVENUE
'SKYLINE ELEMENTARY SCHOOL',6,6,6,6,6,6,7,6,9,6,223,0,0,0,0.183857,0.775785,0,0.040359,0.7265,0.227854,0.394269,0.135,0.206,CANON CITY,81212,2855 NORTH 9TH STREET
'WASHINGTON ELEMENTARY SCHOOL',9,6,7,6,6,6,10,10,9,9,373,0.010724,0.016086,0.008043,0.147453,0.77748,0.002681,0.037534,0.6113,0.227854,0.394269,0.135,0.206,LAMAR,81052,510 SOUTH 9TH STREET
'CENTENNIAL ELEMENTARY SCHOOL',1,2,3,1,3,1,2,1,5,5,454,0.004405,0.057269,0.011013,0.405286,0.508811,0,0.013216,0.5529,0.218034,0.742388,0.514,0.386,EVANS,80620,1400  37TH STREET
'CENTENNIAL HIGH SCHOOL',7,3,3,1,5,2,12,12,11,11,74,0.013514,0,0,0.945946,0.040541,0,0,0.8108,0.649606,0.111782,0.047,0.193,PUEBLO,81008,2525 MONTVIEW DIRVE
'CENTENNIAL JUNIOR HIGH SCHOOL',3,3,3,3,2,2,6,4,6,6,35,0,0,0,0.828571,0.171429,0,0,0.8286,0.649606,0.111782,0.047,0.193,SAN LUIS,81152,909 NORTH MAIN STREET
'CENTER HIGH SCHOOL',9,5,3,3,5,6,10,10,6,12,144,0.013889,0,0,0.923611,0.0625,0,0,0.9306,0.396789,0.279859,0.104,0.153,CENTER,81125,550 S. SYLVESTER AVENUE
'HASKIN ELEMENTARY SCHOOL',3,2,2,1,1,5,5,5,6,6,310,0.016129,0,0,0.93871,0.035484,0,0.009677,0.9611,0.396789,0.279859,0.104,0.153,CENTER,81125,550 S. SYLVESTER AVENUE
'SKOGLUND MIDDLE SCHOOL',7,2,2,3,3,2,9,10,9,9,135,0.014815,0,0.007407,0.911111,0.059259,0,0.007407,0.963,0.396789,0.279859,0.104,0.153,CENTER,81125,550 S. SYLVESTER AVENUE
'ANIMAS HIGH SCHOOL',9,10,10,10,10,9,6,6,6,6,181,0.027624,0.016575,0,0.088398,0.834254,0,0.033149,0,0.264882,0.3,0.352658,0.289,DURANGO,81320,3206 MAIN AVENUE
'CAPROCK ACADEMY',6,6,6,5,7,6,5,5,5,6,639,0.001565,0.014085,0.00313,0.079812,0.874804,0,0.026604,0.2582,0.162176,0.618392,0.523,0.347,GRAND JUNCTION,81505,640 24 1/2 ROAD
'CAPROCK ACADEMY',7,7,7,6,9,6,8,7,6,9,639,0.001565,0.014085,0.00313,0.079812,0.874804,0,0.026604,0.2582,0.162176,0.618392,0.523,0.347,GRAND JUNCTION,81505,640 24 1/2 ROAD
'CAPROCK ACADEMY',6,7,9,6,10,5,7,6,6,11,639,0.001565,0.014085,0.00313,0.079812,0.874804,0,0.026604,0.2582,0.162176,0.618392,0.523,0.347,GRAND JUNCTION,81505,640 24 1/2 ROAD
'COLORADO CALVERT ACADEMY',3,5,6,3,5,6,2,4,1,3,180,0,0.033333,0.027778,0.133333,0.766667,0,0.038889,0.4333,0.28614,0.644963,0.558,0.418,DENVER,80203,1580 LOGAN STREET SUITE 210
'COLORADO CALVERT ACADEMY',4,6,7,3,6,6,5,7,1,6,180,0,0.033333,0.027778,0.133333,0.766667,0,0.038889,0.4333,0.28614,0.644963,0.558,0.418,DENVER,80203,1580 LOGAN STREET SUITE 210
'COLORADO PROVOST ACADEMY',1,2,4,1,2,2,1,6,1,1,391,0.025575,0.012788,0.086957,0.276215,0.59335,0.005115,0,0.399,0.158845,0.798367,0.687,0.727,GREENWOOD VILLAGE,80111,7720 EAST BELLEVIEW AVENUE SUITE AG-9
'COLORADO SPRINGS CHARTER ACADEMY',7,9,9,7,9,9,9,6,7,9,417,0,0.014388,0.01199,0.206235,0.729017,0.002398,0.035971,0.3046,0.393165,0.390238,0.187,0.23,COLORADO SPRINGS,80909,2577 N CHELTON ROAD
'COLORADO SPRINGS CHARTER ACADEMY',13,12,10,11,11,13,11,10,9,10,417,0,0.014388,0.01199,0.206235,0.729017,0.002398,0.035971,0.3046,0.393165,0.390238,0.187,0.23,COLORADO SPRINGS,80909,2577 N CHELTON ROAD
'COLORADO SPRINGS EARLY COLLEGES',6,9,8,9,9,7,5,6,3,5,579,0.008636,0.025907,0.112263,0.164076,0.678756,0.006908,0.003454,0.2729,0.357895,0.425047,0.354,0.345,COLORADO SPRINGS,80907,4435 NORTH CHESTNUT
'COMMUNITY LEADERSHIP ACADEMY',12,9,7,9,11,7,12,6,9,12,494,0,0,0.002024,0.894737,0.103239,0,0,0.8543,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,6880 HOLLY STREET
'COMMUNITY LEADERSHIP ACADEMY',9,6,5,6,6,6,11,9,12,12,494,0,0,0.002024,0.894737,0.103239,0,0,0.8543,0.28655,0.483903,0.211,0.169,COMMERCE CITY,80022,6880 HOLLY STREET
'EARLY COLLEGE HIGH SCHOOL AT ARVADA',1,4,6,1,5,5,1,1,1,2,231,0.017316,0.034632,0.034632,0.333333,0.571429,0,0.008658,0.3939,0.362497,0.554569,0.255,0.258,ARVADA,80003,4905 WEST 60TH AVENUE
'EARLY COLLEGE HIGH SCHOOL AT ARVADA',6,6,7,6,6,6,5,6,4,5,231,0.017316,0.034632,0.034632,0.333333,0.571429,0,0.008658,0.3939,0.362497,0.554569,0.255,0.258,ARVADA,80003,4905 WEST 60TH AVENUE
'FRONTIER CHARTER ACADEMY',1,6,5,5,5,6,1,3,3,1,1371,0.002188,0.008023,0.01167,0.15682,0.805981,0,0.015317,0.1707,0.257256,0.566111,0.276,0.329,CALHAN,80808,488 YODER STREET
'HIGH POINT ACADEMY',7,6,5,6,5,6,8,12,5,6,751,0.013316,0.029294,0.320905,0.266312,0.292943,0.001332,0.075899,0.4985,0.477528,0.788235,0.29,0.25,AURORA,80019,6192 NORTH GENOA STREET
'HIGH POINT ACADEMY',6,5,5,4,5,5,6,7,3,7,751,0.013316,0.029294,0.320905,0.266312,0.292943,0.001332,0.075899,0.4985,0.477528,0.788235,0.29,0.25,AURORA,80019,6192 NORTH GENOA STREET
'MOUNTAIN MIDDLE SCHOOL',2,7,8,7,7,5,1,1,2,1,168,0.011905,0,0,0.047619,0.940476,0,0,0.0298,0.182038,0.599233,0.503,0.525,DURANGO,81301,777 MAIN AVENUE SUITE 214
'PIKES PEAK PREP',5,6,6,6,6,6,5,6,5,5,288,0.024306,0.003472,0.25,0.277778,0.371528,0.020833,0.052083,0.566,0.386981,0.380233,0.346,0.263,COLORADO SPRINGS,80903,525 EAST COSTILLA STREET
'PIKES PEAK PREP',9,6,6,6,6,4,10,11,7,12,288,0.024306,0.003472,0.25,0.277778,0.371528,0.020833,0.052083,0.566,0.386981,0.380233,0.346,0.263,COLORADO SPRINGS,80903,525 EAST COSTILLA STREET
'PIKES PEAK PREP',6,7,9,7,7,7,12,12,9,12,288,0.024306,0.003472,0.25,0.277778,0.371528,0.020833,0.052083,0.566,0.386981,0.380233,0.346,0.263,COLORADO SPRINGS,80903,525 EAST COSTILLA STREET
'RICARDO FLORES MAGON ACADEMY',9,9,9,12,9,8,7,5,8,10,296,0.006757,0.010135,0.013514,0.939189,0.027027,0.003378,0,0.8919,0.33455,0.401003,0.08,0.18,WESTMINSTER,80030,7255 IRVING STREET
'ROSS MONTESSORI SCHOOL',5,9,9,6,9,8,1,4,1,5,217,0.013825,0.013825,0.004608,0.18894,0.746544,0.004608,0.02765,0.1797,0.205949,0.59276,0.433,0.483,CARBONDALE,81623,407 MERRILL AVENUE
'ROSS MONTESSORI SCHOOL',9,9,9,6,10,6,9,9,6,9,217,0.013825,0.013825,0.004608,0.18894,0.746544,0.004608,0.02765,0.1797,0.205949,0.59276,0.433,0.483,CARBONDALE,81623,407 MERRILL AVENUE
'SCHOLARS TO LEADERS ACADEMY',1,5,5,4,5,5,1,3,3,1,246,0,0.012195,0.113821,0.626016,0.231707,0,0.01626,0.8211,0.357895,0.425047,0.354,0.345,COLORADO SPRINGS,80907,3115 LARKSPUR
'SCHOLARS TO LEADERS ACADEMY',4,3,3,1,4,1,5,6,1,9,246,0,0.012195,0.113821,0.626016,0.231707,0,0.01626,0.8211,0.357895,0.425047,0.354,0.345,COLORADO SPRINGS,80907,3115 LARKSPUR
'STONE CREEK SCHOOL',6,9,6,9,8,7,4,5,3,6,138,0,0.036232,0,0.152174,0.811594,0,0,0.087,0.227771,0.506722,0.516,0.551,AVON,81620,0375 YODER AVE
'STONE CREEK SCHOOL',12,11,10,10,12,10,10,10,9,9,138,0,0.036232,0,0.152174,0.811594,0,0,0.087,0.227771,0.506722,0.516,0.551,AVON,81620,0375 YODER AVE
'T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE',7,9,8,9,7,9,7,9,6,8,264,0.003788,0.056818,0.068182,0.128788,0.727273,0,0.015152,0.3106,0.143127,0.680198,0.621,0.538,FT COLLINS,80525,4512 MCMURRAY
'T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE',7,5,6,4,5,6.718607,9,12,6,9,264,0.003788,0.056818,0.068182,0.128788,0.727273,0,0.015152,0.3106,0.143127,0.680198,0.621,0.538,FT COLLINS,80525,4512 MCMURRAY
'THE PINNACLE CHARTER SCHOOL ELEMENTARY',6,6,5,6,6,6,6,7,6,6,1041,0.008646,0.056676,0.01633,0.630163,0.284342,0,0.003842,0.5648,0.237049,0.759071,0.754,0.667,FEDERAL HEIGHTS,80206,1001 W 84TH STREET
'THE PINNACLE CHARTER SCHOOL HIGH',6,6,6,6,6,6,8,9,6,9,448,0.002232,0.060268,0.03125,0.595982,0.303571,0.002232,0.004464,0.4911,0.237049,0.759071,0.754,0.667,FEDERAL HEIGHTS,80206,1001 W 84TH STREET
'THE PINNACLE CHARTER SCHOOL MIDDLE',6,6,6,6,6,5,6,6,5,6,540,0.003704,0.062963,0.007407,0.659259,0.259259,0.001852,0.005556,0.5759,0.237049,0.759071,0.754,0.667,FEDERAL HEIGHTS,80206,1001 W 84TH STREET
'THE VANGUARD SCHOOL (HIGH)',13,13,13,13,13,13,12,13,9,11,211,0.009479,0.066351,0.023697,0.161137,0.687204,0,0.052133,0.1801,0.331695,0.623349,0.525,0.513,COLORADO SPRINGS,80906,1832 SOUTH WAHSATCH
'THE VANGUARD SCHOOL (MIDDLE)',9,12,12,12,13,12,6,7,5,6,213,0,0.061033,0.089202,0.206573,0.577465,0.004695,0.061033,0.23,0.331695,0.623349,0.525,0.513,COLORADO SPRINGS,80906,1832 SOUTH WAHSATCH
'THOMAS MACLAREN STATE CHARTER SCHOOL',9,10,12,9,12,9,7,9,5,9,161,0,0.012422,0.080745,0.173913,0.701863,0,0.031056,0.2795,0.24796,0.608073,0.38,0.426,COLORADO SPRINGS,80918,303 AUSTIN BLUFFS PARKWAY
'THOMAS MACLAREN STATE CHARTER SCHOOL',9,13,12,13,13,12,12,9,13,9,161,0,0.012422,0.080745,0.173913,0.701863,0,0.031056,0.2795,0.24796,0.608073,0.38,0.426,COLORADO SPRINGS,80918,303 AUSTIN BLUFFS PARKWAY
'CHERAW ELEMENTARY SCHOOL',2,6,5,5,4,8,3,3,5,2,113,0,0,0,0.230088,0.769912,0,0,0.5806,0.821429,0.142857,0.3,0.185,CHERAW,81030,110 LAKEVIEW AVENUE
'CHERAW HIGH SCHOOL',9,6,7,5,8,8,7,6,8,9,51,0,0,0,0.078431,0.921569,0,0,0.5294,0.821429,0.142857,0.3,0.185,CHERAW,81030,110 LAKEVIEW AVENUE
