School_Name,School_Grade,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,Enrol_TOT,PCT_AmInd,PCT_Asian,PCT_Black,PCT_hisp,PCT_White,PCT_PI,PCT_2ormore,PCT_FREE_MEAL,PCT_Single_Family,PCT_More_than_INCOME_60000,EDU_Population35to44years_Bachelorsdegreeorhigher,EDU_Population45to64years_Bachelorsdegreeorhigher,City,Zipcode,Address
'MOORE K-8 SCHOOL',6,4,5,3,4,5,6,7,6,7,488,0.022541,0.014344,0.233607,0.372951,0.313525,0,0.043033,0.7706,0.308586,0.735062,0.619,0.534,DENVER,80218,846 CORONA STREET
'MOREY MIDDLE SCHOOL',9,8,6,9,9,7,9,9,7,12,735,0.001361,0.02449,0.287075,0.27619,0.356463,0.001361,0.053061,0.5306,0.308586,0.735062,0.619,0.534,DENVER,80218,840 EAST 14TH AVENUE
'MUNROE ELEMENTARY SCHOOL',1,3,2,3,3,1,6,6,3,6,611,0.013093,0.016367,0.016367,0.93126,0.01964,0,0.003273,0.9769,0.397311,0.283844,0.087,0.111,DENVER,80219,3440 WEST VIRGINIA AVENUE
'NEWLON ELEMENTARY SCHOOL',10,5,3,5,5,1,12,13,9,13,567,0.007055,0.008818,0,0.954145,0.028219,0,0.001764,0.9589,0.397311,0.283844,0.087,0.111,DENVER,80219,361 VRAIN STREET
'NOEL COMMUNITY ARTS SCHOOL',6,1,1,3,1,6.718607,9,6,12,6,187,0,0.010695,0.31016,0.593583,0.037433,0.010695,0.037433,0.9198,0.366887,0.336019,0.113,0.159,DENVER,80239,5290 KITTERIDGE STREET
'NOEL MIDDLE SCHOOL',3,1,1,1,1,1,5,4,3,6,433,0,0.002309,0.267898,0.692841,0.027714,0.004619,0.004619,0.9584,0.366887,0.336019,0.113,0.159,DENVER,80239,5290 KITTERIDGE STREET
'NORTH HIGH SCHOOL',3,2,3,1,3,3,8,6,6,10,937,0.013874,0.008538,0.037353,0.865528,0.0619,0.001067,0.01174,0.8431,0.412602,0.535813,0.522,0.352,DENVER,80211,2960 NORTH SPEER BOULEVARD
'NORTHEAST ACADEMY CHARTER SCHOOL',1,1,1,1,1,1,4,3,3,6,385,0.002597,0.002597,0.467532,0.446753,0.033766,0.002597,0.044156,0.8753,0.366887,0.336019,0.113,0.159,DENVER,80239,4895 PEORIA STREET
'NORTHEAST ACADEMY CHARTER SCHOOL',6,1,2,1,2,1,10,12,5,12,385,0.002597,0.002597,0.467532,0.446753,0.033766,0.002597,0.044156,0.8753,0.366887,0.336019,0.113,0.159,DENVER,80239,4895 PEORIA STREET
'ODYSSEY CHARTER ELEMENTARY SCHOOL',6,7,6,7,7,7,5,7,1,6,225,0,0.026667,0.12,0.151111,0.56,0,0.142222,0.3511,0.434398,0.51586,0.575,0.352,DENVER,80207,6550 EAST 21ST AVENUE
'ODYSSEY CHARTER ELEMENTARY SCHOOL',11,9,10,9,9,8,11,9,10,12,225,0,0.026667,0.12,0.151111,0.56,0,0.142222,0.3511,0.434398,0.51586,0.575,0.352,DENVER,80207,6550 EAST 21ST AVENUE
'OMAR D BLAIR CHARTER SCHOOL',9,6,6,6,6,6,9,9,8,9,783,0,0.086845,0.320562,0.385696,0.146871,0,0.060026,0.5683,0.288495,0.548542,0.25,0.276,DENVER,80249,4905 CATHAY STREET
'OMAR D BLAIR CHARTER SCHOOL',8,6,5,6,6,5,9,9,9,9,783,0,0.086845,0.320562,0.385696,0.146871,0,0.060026,0.5683,0.288495,0.548542,0.25,0.276,DENVER,80249,4905 CATHAY STREET
'ONLINE HIGH SCHOOL',2,5,6,1,5,5,4,4,6,3,97,0.020619,0.010309,0.14433,0.309278,0.443299,0.020619,0.051546,0.2887,0.28614,0.644963,0.558,0.418,DENVER,80203,900 GRANT STREET
'PALMER ELEMENTARY SCHOOL',9,6,6,5,6,3,12,10,12,12,312,0,0.022436,0.346154,0.214744,0.355769,0.003205,0.057692,0.6416,0.306648,0.660047,0.637,0.601,DENVER,80220,995 GRAPE STREET
'PARK HILL SCHOOL',10,7,6,6,9,9,11,10,11,9,514,0.007782,0.021401,0.153696,0.153696,0.570039,0.001946,0.09144,0.3032,0.306648,0.660047,0.637,0.601,DENVER,80220,5050 EAST 19TH AVENUE
'PIONEER CHARTER SCHOOL',6,2,1,1,3,2,8,9,7,9,393,0,0.002545,0.061069,0.913486,0.017812,0.002545,0.002545,0.9235,0.534853,0.403518,0.487,0.249,DENVER,80205,3230 EAST 38TH AVENUE
'PIONEER CHARTER SCHOOL',6,4,2,5,5,6.718607,6,9,6,9,393,0,0.002545,0.061069,0.913486,0.017812,0.002545,0.002545,0.9235,0.534853,0.403518,0.487,0.249,DENVER,80205,3230 EAST 38TH AVENUE
'PITT-WALLER K-8 SCHOOL',6,3,4,3,4,3,7,6,5,7,968,0.009298,0.079545,0.349174,0.410124,0.091942,0.004132,0.055785,0.7367,0.288495,0.548542,0.25,0.276,DENVER,80249,21601 EAST 51ST PLACE
'PITT-WALLER K-8 SCHOOL',9,5,4,5,6,4,12,9,9,12,968,0.009298,0.079545,0.349174,0.410124,0.091942,0.004132,0.055785,0.7367,0.288495,0.548542,0.25,0.276,DENVER,80249,21601 EAST 51ST PLACE
'PLACE BRIDGE ACADEMY',7,3,1,3,3,5,12,12,12,10,1045,0.006699,0.240191,0.247847,0.386603,0.088995,0.007656,0.02201,0.9492,0.321125,0.485595,0.494,0.536,DENVER,80224,7125 CHERRY CREEK DRIVE NORTH
'PLACE BRIDGE ACADEMY',6,1,1,1,1,4,9,7,9,7,1045,0.006699,0.240191,0.247847,0.386603,0.088995,0.007656,0.02201,0.9492,0.321125,0.485595,0.494,0.536,DENVER,80224,7125 CHERRY CREEK DRIVE NORTH
'POLARIS AT EBERT ELEMENTARY SCHOOL',13,13,13,13,13,13,13,12,10,13,332,0,0.03012,0.027108,0.090361,0.774096,0,0.078313,0.0783,0.534853,0.403518,0.487,0.249,DENVER,80205,410 PARK AVENUE WEST
'SABIN WORLD SCHOOL',6,5,5,5,5,5,8,6,9,7,703,0.004267,0.046942,0.01707,0.746799,0.156472,0.002845,0.025605,0.8435,0.398075,0.529912,0.232,0.209,DENVER,80236,3050 SOUTH VRAIN STREET
'SAMUELS ELEMENTARY SCHOOL',6,5,5,5,5,4,7,6,8,8,615,0.00813,0.086179,0.213008,0.447154,0.219512,0,0.026016,0.7621,0.331252,0.65101,0.647,0.564,DENVER,80237,3985 SOUTH VINCENNES COURT
'SCHMITT ELEMENTARY SCHOOL',6,3,4,2,5,3,6,6,7,7,420,0.004762,0.085714,0.057143,0.802381,0.042857,0,0.007143,0.9491,0.409188,0.322414,0.224,0.178,DENVER,80223,1820 SOUTH VALLEJO STREET
'SKINNER MIDDLE SCHOOL',7,5,5,6,5,5,10,12,9,9,370,0.016216,0.008108,0.010811,0.802703,0.148649,0,0.013514,0.8649,0.412602,0.535813,0.522,0.352,DENVER,80211,3435 WEST 40TH AVENUE
'SLAVENS K-8 SCHOOL',13,12,12,13,12,12,11,9,12,9,510,0.001961,0.02549,0.011765,0.076471,0.833333,0,0.05098,0.0824,0.226493,0.700401,0.704,0.648,DENVER,80210,3000 SOUTH CLAYTON STREET
'SLAVENS K-8 SCHOOL',13,12,12,13,12,12,12,12,12,12,510,0.001961,0.02549,0.011765,0.076471,0.833333,0,0.05098,0.0824,0.226493,0.700401,0.704,0.648,DENVER,80210,3000 SOUTH CLAYTON STREET
'SMILEY MIDDLE SCHOOL',5,3,3,5,2,3,6,7,7,6,246,0.004065,0.01626,0.51626,0.288618,0.117886,0,0.056911,0.8333,0.434398,0.51586,0.575,0.352,DENVER,80207,2540 HOLLY STREET
'SMITH ELEMENTARY SCHOOL',3,1,1,1,1,1,5,6,6,6,410,0.009756,0,0.404878,0.541463,0.026829,0,0.017073,0.9849,0.434398,0.51586,0.575,0.352,DENVER,80207,3590 JASMINE STREET
'SOUTHMOOR ELEMENTARY SCHOOL',9,10,9,9,9,10,9,11,6,7,487,0.004107,0.061602,0.104723,0.176591,0.591376,0.002053,0.059548,0.3126,0.331252,0.65101,0.647,0.564,DENVER,80237,3755 SOUTH MAGNOLIA WAY
'SOUTHWEST EARLY COLLEGE CHARTER SCHOOL',3,3,3,3,2,2,6,6,5,6,295,0.010169,0.013559,0.027119,0.854237,0.088136,0,0.00678,0.7898,0.398075,0.529912,0.232,0.209,DENVER,80236,3001 SOUTH FEDERAL BOULEVARD
'STECK ELEMENTARY SCHOOL',13,13,13,13,13,12,13,12,12,12,375,0,0.029333,0.029333,0.114667,0.773333,0,0.053333,0.1014,0.306648,0.660047,0.637,0.601,DENVER,80220,425 ASH STREET
'STEDMAN ELEMENTARY SCHOOL',6,3,3,3,4,2,9,10,9,7,339,0.00295,0.00885,0.522124,0.368732,0.070796,0,0.026549,0.8961,0.434398,0.51586,0.575,0.352,DENVER,80207,2940 DEXTER STREET
'SWANSEA ELEMENTARY SCHOOL',6,1,1,1,3,2,6,9,6,9,555,0.009009,0,0.010811,0.944144,0.034234,0.001802,0,0.9654,0.373727,0.211454,0.078,0.084,DENVER,80216,4650 COLUMBINE STREET
'TELLER ELEMENTARY SCHOOL',6,6,6,6,7,6,6,9,3,8,461,0.004338,0.030369,0.08243,0.195228,0.603037,0,0.084599,0.3664,0.237049,0.759071,0.754,0.667,DENVER,80206,1150 GARFIELD STREET
'THOMAS JEFFERSON HIGH SCHOOL',5,6,6,6,6,6,6,6,6,6,1048,0.010496,0.026718,0.241412,0.291985,0.372137,0.002863,0.054389,0.5353,0.331252,0.65101,0.647,0.564,DENVER,80237,3950 SOUTH HOLLY STREET
'TRAYLOR ELEMENTARY SCHOOL',6,6,6,6,6,5,6,5,5,6,597,0.00335,0.055276,0.01005,0.685092,0.20603,0.01005,0.030151,0.6776,0.315042,0.560951,0.364,0.357,DENVER,80227,2900 SOUTH IVAN WAY
'TREVISTA ECE-8 AT HORACE MANN',1,1,1,1,1,2,5,6,2,6,587,0.028961,0.005111,0.07155,0.834753,0.0477,0,0.011925,0.9651,0.412602,0.535813,0.522,0.352,DENVER,80211,4130 NAVAJO STREET
'TREVISTA ECE-8 AT HORACE MANN',6,1,1,3,1,1,11,9,10,10,587,0.028961,0.005111,0.07155,0.834753,0.0477,0,0.011925,0.9651,0.412602,0.535813,0.522,0.352,DENVER,80211,4130 NAVAJO STREET
'UNIVERSITY PARK ELEMENTARY SCHOOL',12,9,8,9,9,9,12,10,9,12,425,0.007059,0.063529,0.049412,0.167059,0.642353,0.004706,0.065882,0.3035,0.226493,0.700401,0.704,0.648,DENVER,80210,2300 SOUTH ST PAUL STREET
'VALDEZ ELEMENTARY SCHOOL',7,1,1,1,1,1,9,13,6,12,361,0.00277,0.00277,0.00831,0.728532,0.240997,0,0.01662,0.7472,0.412602,0.535813,0.522,0.352,DENVER,80211,2525 WEST 29 AVENUE
'VALVERDE ELEMENTARY SCHOOL',5,1,1,1,3,5,6,6,6,11,394,0.005076,0.015228,0.071066,0.883249,0.022843,0,0.002538,0.9913,0.409188,0.322414,0.224,0.178,DENVER,80223,2030 WEST ALAMEDA AVENUE
'VENTURE PREP',5,2,2,2,1,5,6,6,6,6,417,0,0.009592,0.426859,0.458034,0.076739,0.002398,0.026379,0.8825,0.434398,0.51586,0.575,0.352,DENVER,80207,2540 HOLLY STREET
'VENTURE PREP',6,2,1,3,2,1,12,7,13,9,417,0,0.009592,0.426859,0.458034,0.076739,0.002398,0.026379,0.8825,0.434398,0.51586,0.575,0.352,DENVER,80207,2540 HOLLY STREET
'WEST DENVER PREP - HIGHLAND CAMPUS',11,6,4,7,6,6.718607,13,13,13,13,222,0.013514,0.009009,0.018018,0.905405,0.040541,0,0.013514,0.9234,0.412602,0.535813,0.522,0.352,DENVER,80211,2417 WEST 29TH AVE
'WEST DENVER PREP - LAKE CAMPUS',10,5,3,6,4,6.718607,12,11,13,12,240,0.008333,0.0125,0.066667,0.858333,0.054167,0,0,0.9417,0.564974,0.288468,0.266,0.19,DENVER,80204,1820 LOWELL BLVD
'WEST DENVER PREP:  FEDERAL CAMPUS',12,6,5,9,6,6,13,13,13,13,332,0.006024,0,0,0.981928,0.012048,0,0,0.9277,0.397311,0.283844,0.087,0.111,DENVER,80219,1825 SOUTH FEDERAL
'WEST DENVER PREP: HARVEY PARK CAMPUS',12,7,5,10,6,10,13,12,13,13,319,0,0.015674,0.003135,0.9279,0.047022,0.00627,0,0.8966,0.397311,0.283844,0.087,0.111,DENVER,80219,2250 SOUTH QUITMAN WAY
'WEST HIGH SCHOOL',1,1,1,1,1,2,6,9,3,6,700,0.014286,0.002857,0.055714,0.872857,0.044286,0,0.01,0.8729,0.564974,0.288468,0.266,0.19,DENVER,80204,951 ELATI STREET
'WESTERLY CREEK ELEMENTARY',9,9,9,9,9,9,9,9,6,8,604,0.001656,0.039735,0.097682,0.125828,0.688742,0.001656,0.044702,0.2155,0.123267,0.868097,0.808,0.695,DENVER,80238,8800 EAST 28TH AVENUE
'WHITTIER K-8 SCHOOL',6,3,5,1,4,4,7,7,7,6,283,0.014134,0.007067,0.431095,0.385159,0.095406,0,0.067138,0.905,0.534853,0.403518,0.487,0.249,DENVER,80205,2480 DOWNING STREET
'WHITTIER K-8 SCHOOL',9,6,4,6,6,6.718607,13,12,10,13,283,0.014134,0.007067,0.431095,0.385159,0.095406,0,0.067138,0.905,0.534853,0.403518,0.487,0.249,DENVER,80205,2480 DOWNING STREET
'WILLIAM (BILL) ROBERTS K-8 SCHOOL',12,11,10,11,11,9,10,9,9,9,782,0.002558,0.026854,0.103581,0.117647,0.69821,0.001279,0.049872,0.1617,0.123267,0.868097,0.808,0.695,DENVER,80238,2100 AKRON WAY
'WILLIAM (BILL) ROBERTS K-8 SCHOOL',10,7,6,7,6,9,10,10,10,9,782,0.002558,0.026854,0.103581,0.117647,0.69821,0.001279,0.049872,0.1617,0.123267,0.868097,0.808,0.695,DENVER,80238,2100 AKRON WAY
'WYATT-EDISON CHARTER ELEMENTARY SCHOOL',1,3,3,4,3,1,3,1,4,4,652,0.013804,0,0.230061,0.722393,0.029141,0,0.004601,0.7469,0.534853,0.403518,0.487,0.249,DENVER,80205,3620 FRANKLIN STREET
'WYATT-EDISON CHARTER ELEMENTARY SCHOOL',6,3,3,4,3,1,9,9,10,7,652,0.013804,0,0.230061,0.722393,0.029141,0,0.004601,0.7469,0.534853,0.403518,0.487,0.249,DENVER,80205,3620 FRANKLIN STREET
'EXPEDITIONARY LEARNING SCHOOL',6,9,9,9,8,9,5,3,6,5,362,0.005525,0.035912,0.033149,0.11326,0.751381,0,0.060773,0,0.282386,0.491655,0.502,0.396,DENVER,80222,1700 SOUTH HOLLY STREET
'EXPEDITIONARY LEARNING SCHOOL',9,8,8,7,9,9,10,9,10,9,362,0.005525,0.035912,0.033149,0.11326,0.751381,0,0.060773,0,0.282386,0.491655,0.502,0.396,DENVER,80222,1700 SOUTH HOLLY STREET
'EXPEDITIONARY LEARNING SCHOOL',9,6,6,6,6,9,6,1,9,9,362,0.005525,0.035912,0.033149,0.11326,0.751381,0,0.060773,0,0.282386,0.491655,0.502,0.396,DENVER,80222,1700 SOUTH HOLLY STREET
