School_Name,School_Grade,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,Enrol_TOT,PCT_AmInd,PCT_Asian,PCT_Black,PCT_hisp,PCT_White,PCT_PI,PCT_2ormore,PCT_FREE_MEAL,PCT_Single_Family,PCT_More_than_INCOME_60000,EDU_Population35to44years_Bachelorsdegreeorhigher,EDU_Population45to64years_Bachelorsdegreeorhigher
'CRAWFORD ELEMENTARY SCHOOL',9,9,9,12,8,7,9,7,7,9,669,0.013453,0.073244,0.080717,0.77728,0.03139,0,0.023916,0.894,0.385658,0.234404,0.096,0.115
'CRESTONE CHARTER SCHOOL',9,7,9,6,6,10,12,13,10,9,82,0.060976,0.012195,0.012195,0.012195,0.890244,0.012195,0,0.232,0.280992,0.307116,0.265,0.572
'CORONADO HIGH SCHOOL',6,9,8,9,9,7,3,4,3,5,1469,0.00885,0.017018,0.03744,0.204221,0.641933,0.004765,0.085773,0.336,0.289191,0.523253,0.417,0.36
'WINDSOR HIGH SCHOOL',6,7,6,8,7,8,3,1,5,2,1090,0.00367,0.015596,0.007339,0.137615,0.818349,0.000917,0.016514,0.164,0.128079,0.704155,0.484,0.356
'ARVADA HIGH SCHOOL',5,4,5,6,6,5,7,6,9,6,1039,0.018287,0.050048,0.014437,0.350337,0.547642,0.001925,0.017324,0.586,0.264702,0.667416,0.35,0.329
'MIDDLE PARK HIGH SCHOOL',6,6,6,8,6,6,3,2,5,3,348,0.008621,0.014368,0.005747,0.068966,0.893678,0.002874,0.005747,0.126,0.14897,0.590034,0.264,0.1
'ROCKY TOP MIDDLE SCHOOL',9,9,9,9,9,9,9,9,9,6,1104,0.002717,0.006341,0.000906,0.168478,0.817935,0,0.003623,0.129,0.114405,0.836657,0.489,0.339
'MAPLETON EARLY COLLEGE HIGH SCHOOL',6,4,5,3,5,3,10,12,7,10,516.678349,0.009281,0.023713,0.03799,0.315076,0.586393,0.001955,0.025591,0.69,0.323121,0.400566,0.153,0.111
'NEW VISTA HIGH SCHOOL',5,7,6,8,8,8,3,1,5,3,305,0.006557,0.013115,0.006557,0.111475,0.8,0,0.062295,0.148,0.147704,0.718642,0.8,0.714
'CENTENNIAL ELEMENTARY SCHOOL',9,9,8,9,9,9,9,10,9,9,479,0.004175,0.035491,0,0.386221,0.565762,0,0.008351,0.534,0.40826,0.288116,0.152,0.118
'CREEKSIDE ELEMENTARY SCHOOL',9,10,9,10,9,10,10,12,9,9,759,0.002635,0.071146,0.039526,0.110672,0.73913,0,0.036891,0.075,0.136512,0.80916,0.6,0.549
'SIMLA ELEMENTARY SCHOOL',9,9,7,9,9,7,9,6,9,9,155,0.025806,0,0,0.103226,0.832258,0.006452,0.032258,0.635,0.4,0.524229,0.131,0.315
'STEELE ELEMENTARY SCHOOL',9,9,9,9,7,9,10,7,12,9,475,0.004211,0.012632,0.008421,0.092632,0.863158,0,0.018947,0.112,0.179775,0.808718,0.73,0.651
'FRISCO ELEMENTARY SCHOOL',9,9,9,9,7,8,9,9,10,6,200,0,0.025,0,0.115,0.81,0,0.05,0.243,0.225532,0.672515,0.3,0.633
'WIDEFIELD HIGH SCHOOL',6,6,6,6,6,6,5,5,5,5,1264,0.008703,0.011076,0.13212,0.231804,0.556171,0.007911,0.052215,0.321,0.271895,0.571187,0.213,0.203
'DELTA VISION SCHOOL',6,6,6,5,6,7,6,2,4,12,271,0.00369,0.02214,0.01476,0.062731,0.863469,0,0.03321,0.085,0.256871,0.425036,0.144,0.195
'BRUCE RANDOLPH SCHOOL',6,3,3,4,3,2,9,9,9,9,893,0.00224,0.00224,0.06383,0.910414,0.011198,0,0.010078,0.971,0.527283,0.373996,0.471,0.262
'ROCKY MOUNTAIN CLASSICAL ACADEMY',6,6,6,5,6,8,7,9,6,6,924,0,0.030303,0.054113,0.154762,0.713203,0.00974,0.037879,0.004,0.364933,0.484363,0.149,0.222
'BLUE HERON ELEMENTARY SCHOOL',9,9,9,10,9,7,9,6,10,7,515,0,0.135922,0.005825,0.190291,0.646602,0,0.021359,0.152,0.192921,0.732433,0.498,0.491
'HIGHLAND HIGH SCHOOL',6,6,6,7,6,6,7,8,7,6,259,0,0.003861,0.003861,0.34749,0.629344,0,0.015444,0.425,0.300156,0.55,0.282,0.304
'PARADOX VALLEY CHARTER SCHOOL',9,6.810069,8,8,7,6.785469,9,6,9,7,54,0.037037,0,0,0.037037,0.851852,0,0.074074,0.696,0.262157,0.363636,0.344841,0.68
'CENTRAL HIGH SCHOOL',6,6,6,6,6,7,6,6,7,6,1599,0.013759,0.00813,0.007505,0.252658,0.702939,0.001251,0.013759,0.477,0.290763,0.503914,0.206,0.177
'ERIE ELEMENTARY SCHOOL',9,7,9,7,6,6,10,12,7,9,644,0.006211,0.034161,0.01087,0.100932,0.847826,0,0,0.155,0.129013,0.827062,0.579,0.458
'NEVIN PLATT MIDDLE SCHOOL',9,12,12,10,12,12,8,7,9,6,533,0.001876,0.033771,0.005629,0.058161,0.84803,0,0.052533,0.058,0.21971,0.737669,0.748,0.722
'PEAK TO PEAK CHARTER SCHOOL',9,11,12,12,9,10,9,7,7,10,1444,0.002078,0.097645,0.00831,0.092798,0.756925,0.002078,0.040166,0.082,0.304228,0.648784,0.598,0.494
'POLARIS EXPEDITIONARY LEARNING SCHOOL',6,6,6,6,6,5,5,6,3,6,232,0,0.012931,0.008621,0.090517,0.87069,0,0.017241,0.263,0.320352,0.489195,0.494,0.503
'PRIMERO JUNIOR-SENIOR HIGH SCHOOL',6,6,6,6,6,6,5,6,3,6,104,0,0.009615,0.009615,0.375,0.605769,0,0,0.394,0.237805,0.402174,0,0.226
'CROWLEY COUNTY HIGH SCHOOL',6,6,6,6,6,6,6,7,6,5,142,0,0.007042,0,0.330986,0.640845,0,0.021127,0.641,0.2,0.272527,0.059,0.125
'FREDERICK SENIOR HIGH SCHOOL',6,6,6,6,6,6,6,6,6,6,806,0.009926,0.031017,0.008685,0.287841,0.658809,0.003722,0,0.325,0.148725,0.687575,0.321,0.261
'LAURENE EDMONDSON ELEMENTARY SCHOOL',9,7,6,8,8,6,9,6,9,10,227,0,0.022026,0,0.268722,0.700441,0.004405,0.004405,0.467,0.269146,0.607807,0.412,0.367
'BATTLE MOUNTAIN HIGH SCHOOL',6,6,6,7,6,6,6,6,6,6,737,0.013569,0.001357,0.004071,0.480326,0.489824,0.004071,0.006784,0.316,0.337098,0.461985,0.445,0.55
'TIMNATH ELEMENTARY SCHOOL',9,8,8,9,8,7,10,11,9,10,303,0.009901,0.019802,0.0033,0.211221,0.742574,0.006601,0.006601,0.347,0.262626,0.711765,0.337,0.404
'YUMA HIGH SCHOOL',6,6,6,6,6,6,6,6,6,5,254,0,0,0,0.417323,0.582677,0,0,0.386,0.175474,0.312937,0.218,0.2
'EAGLE VALLEY ELEMENTARY SCHOOL',9,6,6,8,6,9,9,9,9,8,291,0,0.030928,0,0.549828,0.415808,0.003436,0,0.474,0.114227,0.69078,0.494,0.463
'HIGHLINE ACADEMY CHARTER SCHOOL',9,7,8,6,10,7,9,12,6,11,504,0.003968,0.027778,0.277778,0.140873,0.517857,0.001984,0.029762,0.304,0.365584,0.409034,0.462,0.491
'WILLIAM SMITH HIGH SCHOOL',6,6,6,6,6,5,9,9,9,7,269,0.018587,0.033457,0.152416,0.386617,0.349442,0.007435,0.052045,0.487,0.393575,0.333094,0.114,0.136
'COAL RIDGE HIGH SCHOOL',6,6,6,6,6,6,4,5,5,3,489,0.014315,0.00818,0.006135,0.384458,0.564417,0.00409,0.018405,0.36,0.084856,0.620301,0.244,0.313
'COYOTE HILLS ELEMENTARY SCHOOL',9,12,12,13,12,11,6,6,7,6,773,0.005175,0.080207,0.040103,0.081501,0.747736,0,0.045278,0.044,0.136512,0.80916,0.6,0.549
'DEER CREEK MIDDLE SCHOOL',9,9,9,8,10,10,7,6,9,6,532,0.005639,0.024436,0.005639,0.103383,0.81015,0,0.050752,0.126,0.192921,0.732433,0.498,0.491
'LAS ANIMAS HIGH SCHOOL',6,6,6,5,6,5,6,6,7,5,138,0,0.014493,0.007246,0.478261,0.5,0,0,0.659,0.442225,0.282332,0.065,0.142
'SOUTH LAKEWOOD ELEMENTARY SCHOOL',9,7,7,6,7,8,10,9,9,11,543,0.016575,0.025783,0.022099,0.360958,0.543278,0,0.031308,0.459,0.384211,0.513789,0.243,0.331
'BRIGHTON HIGH SCHOOL',6,6,6,6,6,6,6,6,6,5,1647,0.005464,0.015179,0.007893,0.48391,0.474196,0.001821,0.011536,0.138,0.182254,0.61924,0.19,0.174
'WELD CENTRAL SENIOR HIGH SCHOOL',6,6,6,6,6,5,5,6,6,3,640,0.010938,0.00625,0.001563,0.321875,0.635938,0.004688,0.01875,0.42,0.251948,0.702395,0.185,0.177
'FOUNTAIN-FORT CARSON HIGH SCHOOL',6,6,6,6,6,6,3,3,3,5,1620,0.009259,0.016049,0.185185,0.208025,0.512346,0.009259,0.059877,0.319,0.30535,0.532962,0.246,0.208
'MESA RIDGE HIGH SCHOOL',6,6,6,6,6,6,5,5,5,5,1293,0.012374,0.011601,0.144625,0.190255,0.58546,0.012374,0.04331,0.36,0.271895,0.571187,0.213,0.203
'MORTENSEN ELEMENTARY SCHOOL',9,9,9,9,9,10,9,10,6,8,446,0.004484,0.024664,0.013453,0.163677,0.751121,0,0.042601,0.237,0.245344,0.709545,0.432,0.41
'WILLIAM (BILL) ROBERTS K-8 SCHOOL',9,6,6,6,6,6,12,12,12,8,752,0,0.027926,0.110372,0.110372,0.691489,0.00133,0.058511,0.172,0.143502,0.870817,0.798,0.716
'ANIMAS VALLEY ELEMENTARY SCHOOL',9,9,9,9,9,9,9,9,9,7,247,0.052632,0.016194,0.008097,0.149798,0.769231,0,0.004049,0.362,0.206688,0.604119,0.489,0.54
'ASBURY ELEMENTARY SCHOOL',9,7,6,9,7,8,9,9,10,6,379,0.005277,0.055409,0.073879,0.308707,0.496042,0.002639,0.058047,0.536,0.203056,0.708609,0.705,0.664
'NEW EMERSON SCHOOL AT COLUMBUS',9,10,12,10,9,10,9,9,9,9,133,0,0.015038,0.015038,0.097744,0.804511,0,0.067669,0.113,0.306263,0.442336,0.144,0.221
'LOUISVILLE ELEMENTARY SCHOOL',9,11,12,10,9,12,8,6,7,9,513,0.003899,0.023392,0.007797,0.107212,0.822612,0,0.035088,0.14,0.133119,0.823075,0.816,0.67
'PRESTON MIDDLE SCHOOL',9,10,10,9,11,9,9,6,11,6,516.678349,0.009281,0.023713,0.03799,0.315076,0.586393,0.001955,0.025591,0.151,0.169774,0.687954,0.599,0.589
'WALDEN ELEMENTARY SCHOOL',9,7,6,9,6,10,12,9,9,13,112,0,0,0,0.25,0.732143,0,0.017857,0.581,0.283636,0.495633,0.314,0.261
'WEST DENVER PREP - LAKE CAMPUS',9,6.810069,4,6,6,6.785469,13,10,13,13,85,0,0.023529,0.082353,0.847059,0.047059,0,0,0.929,0.486568,0.239406,0.253,0.177
'EXCEL ACADEMY CHARTER SCHOOL',9,9,8,9,8,9,8,7,10,6,481,0.002079,0.016632,0.014553,0.137214,0.785863,0.002079,0.04158,0.158,0.175322,0.768389,0.497,0.441
'COLORADO CONNECTIONS ACADEMY',6,6,6,6,7,6,6,6,6,6,1372,0.01895,0.004373,0.065598,0.124636,0.766764,0.003644,0.016035,0.404,0.246199,0.706553,0.593,0.63
'MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS',6,5,5,5,5,5,9,9,9,8,543,0.012891,0.005525,0.033149,0.572744,0.344383,0.001842,0.029466,0.656,0.262157,0.550036,0.344841,0.3
'SKYLINE HIGH SCHOOL',6,6,6,6,6,6,5,6,5,3,1230,0.009756,0.034146,0.020325,0.449593,0.48374,0.002439,0,0.441,0.342934,0.41851,0.343,0.294
'MOFFAT SENIOR HIGH SCHOOL',6,5,6,5,5,4,3,6,3,3,39,0.102564,0,0,0.051282,0.846154,0,0,0.744,0.380952,0.2,0,0.121
'SOUTH HIGH SCHOOL',6,3,3,5,3,3,9,9,7,8,1359,0.005151,0.161148,0.218543,0.348786,0.236939,0.001472,0.027962,0.715,0.253888,0.532216,0.267,0.27
'MONTE VISTA SENIOR HIGH SCHOOL',6,6,6,6,6,6,5,2,6,5,262,0.003817,0,0.003817,0.683206,0.29771,0.003817,0.007634,0.546,0.182947,0.348129,0.165,0.158
'MOUNTAIN VALLEY SENIOR HIGH SCHOOL',6,5,5,6,3,6,5,4,7,2,34,0,0,0,0.264706,0.735294,0,0,0.706,0.676829,0.323718,0.207,0.214
'APPLETON ELEMENTARY SCHOOL',9,6,6,7,6,7,12,9,9,13,422,0.00237,0.028436,0.00237,0.106635,0.817536,0.004739,0.037915,0.323,0.146683,0.603231,0.493,0.313
'JEFFERSON CHARTER ACADEMY JUNIOR HIGH SCHOOL',9,9,10,7,10,7,9,9,9,9,170,0.017647,0.017647,0.011765,0.147059,0.752941,0,0.052941,0.147,0.218448,0.735466,0.505,0.374
'THE VANGUARD SCHOOL (MIDDLE)',9,13,13,12,13,13,7,9,6,8,170,0.005882,0.052941,0.070588,0.152941,0.676471,0,0.041176,0.259,0.300089,0.624359,0.53,0.491
'BRANSON SCHOOL ONLINE',6,6,7,6,6,6,6,6,6,6,427,0.01171,0.004684,0.016393,0.215457,0.71897,0,0.032787,0.22,0.338983,0.104167,0.4,0.41
'DE BEQUE UNDIVIDED HIGH SCHOOL',6,6,6,6,6,6,6,10,6,4,44,0.068182,0,0,0.113636,0.818182,0,0,0.386,0.322751,0.617021,0.119,0.05
'BURLINGTON HIGH SCHOOL',6,6,6,6,6,6,3,5,2,2,239,0,0.008368,0.008368,0.343096,0.640167,0,0,0.397,0.248516,0.505919,0.092,0.221
'THORNTON HIGH SCHOOL',6,5,5,6,5,5,7,7,8,6,1762,0.001703,0.010783,0.010216,0.56924,0.403519,0.000568,0.003973,0.379,0.323121,0.400566,0.153,0.111
'MOFFAT COUNTY HIGH SCHOOL',6,6,6,6,6,6,5,3,6,6,615,0.011382,0.003252,0.006504,0.149593,0.82439,0.003252,0.001626,0.322,0.245191,0.544105,0.124,0.145
'THOMAS JEFFERSON HIGH SCHOOL',6,6,6,6,6,6,6,9,6,6,1070,0.007477,0.024299,0.253271,0.271028,0.376636,0.004673,0.062617,0.478,0.217599,0.66222,0.631,0.57
'EDWARDS ELEMENTARY SCHOOL',9,6,6,6,6,6,10,11,9,10,366,0.002732,0.002732,0,0.562842,0.420765,0,0.010929,0.486,0.281844,0.65625,0.37,0.593
'KINARD CORE KNOWLEDGE MIDDLE SCHOOL',9,12,12,10,12,12,7,6,7,6,781,0,0.056338,0.005122,0.034571,0.873239,0,0.03073,0.06,0.169774,0.687954,0.599,0.589
'MONUMENT CHARTER ACADEMY',9,12,12,10,12,12,7,6,6,8,858,0,0.026807,0.01049,0.095571,0.824009,0,0.043124,0.063,0.06079,0.853646,0.677,0.598
'GREEN GABLES ELEMENTARY SCHOOL',9,7,7,7,6,9,11,12,12,7,319,0.009404,0.037618,0.015674,0.272727,0.626959,0,0.037618,0.31,0.279104,0.587544,0.387,0.38
'RYAN ELEMENTARY SCHOOL',9,9,9,9,9,8,9,11,7,9,429,0.009324,0.051282,0.013986,0.214452,0.699301,0,0.011655,0.321,0.304228,0.648784,0.598,0.494
'SIERRA HIGH SCHOOL',6,5,5,5,5,4,6,6,6,6,887,0.014656,0.045096,0.316798,0.359639,0.219842,0.005637,0.038331,0.629,0.420069,0.318747,0.161,0.126
'WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL',9,10,9,10,9,9,9,10,9,9,429,0.009324,0.058275,0.020979,0.123543,0.717949,0.002331,0.067599,0.166,0.246199,0.706553,0.593,0.63
'AURORA QUEST K-8',9,13,13,13,13,13,6,6,6,6,516.678349,0.009281,0.023713,0.03799,0.315076,0.586393,0.001955,0.025591,0.226,0.415725,0.362962,0.246,0.224
'GREELEY CENTRAL HIGH SCHOOL',6,5,4,5,5,5,6,5,7,3,1426,0.002805,0.011921,0.030154,0.595372,0.340112,0.002104,0.017532,0.574,0.434221,0.265829,0.115,0.184
'OVERLAND HIGH SCHOOL',6,5,5,6,6,6,6,8,6,6,2193,0.005928,0.051984,0.337893,0.307798,0.260374,0.004104,0.03192,0.569,0.415725,0.362962,0.246,0.224
BRIDGES,6,6,5,6,6,7,6,6,5,8,80,0.0125,0,0.025,0.4375,0.475,0,0.05,0.3,0.19667,0.607781,0.45,0.44
'GREELEY WEST HIGH SCHOOL',6,6,6,6,6,5,6,6,6,5,1478,0.003383,0.027064,0.018268,0.523681,0.412043,0.001353,0.014208,0.484,0.216954,0.578208,0.331,0.331
'WASSON HIGH SCHOOL',5,4,4,5,4,4,5,5,5,5,1007,0.013903,0.030785,0.110228,0.315789,0.444886,0.003972,0.080437,0.582,0.423597,0.375515,0.172,0.243
'HOLMES MIDDLE SCHOOL',9,9,10,8,10,9,9,9,10,7,683,0.007321,0.01757,0.020498,0.248902,0.629575,0,0.076135,0.392,0.289191,0.523253,0.417,0.36
'SAND CREEK ELEMENTARY SCHOOL',9,10,9,10,10,9,9,9,6,10,599,0.001669,0.03005,0.006678,0.105175,0.803005,0,0.053422,0.112,0.136388,0.868132,0.667,0.642
'EDITH TETER ELEMENTARY SCHOOL',9,9,8,9,9,10,8,6,6,10,272,0,0,0.014706,0.106618,0.871324,0,0.007353,0.429,0.416149,0.48723,0.289,0.392
'TRINIDAD HIGH SCHOOL',6,6,6,6,6,6,4,4,6,2,405,0.012346,0.017284,0.002469,0.639506,0.320988,0.004938,0.002469,0.536,0.317147,0.460728,0.211,0.211
'KIPP DENVER COLLEGIATE HIGH SCHOOL',6,5,5,6,4,5,6,10,5,3,226,0.00885,0.00885,0.004425,0.951327,0.022124,0,0.004425,0.876,0.39783,0.292078,0.265,0.182
'CEDAR RIDGE ELEMENTARY SCHOOL',9,9,9,9,9,7,7,6,6,9,427,0.002342,0,0,0.199063,0.735363,0,0.063232,0.189,0.226384,0.614405,0.295,0.317
'PRITCHETT HIGH SCHOOL',6,6.810069,4,4,4,6.785469,6,3,7,6,19,0,0,0,0.105263,0.894737,0,0,0.632,0.09009,0.278351,0.192,0.035
'CORONADO ELEMENTARY SCHOOL',9,11,10,11,10,10,9,9,10,8,563,0.007105,0.033748,0.007105,0.122558,0.78508,0,0.044405,0.172,0.245344,0.709545,0.432,0.41
'SARGENT JUNIOR HIGH SCHOOL',9,9,9,7,10,12,10,9,12,9,76,0,0,0.013158,0.302632,0.657895,0.013158,0.013158,0.461,0.182947,0.348129,0.165,0.158
'SIERRA ELEMENTARY SCHOOL',9,10,10,9,11,8,9,9,7,9,553,0.003617,0.028933,0.007233,0.128391,0.786618,0.007233,0.037975,0.136,0.175322,0.768389,0.497,0.441
'SOUTH HIGH SCHOOL',6,6,6,6,6,6,3,6,3,3,1359,0.005151,0.161148,0.218543,0.348786,0.236939,0.001472,0.027962,0.715,0.253888,0.532216,0.267,0.27
'BANNING LEWIS RANCH ACADEMY',9,9,9,6,9,12,9,12,9,9,712,0.016854,0.067416,0.082865,0.132022,0.700843,0,0,0.001,0,0.865116,0.506,0.172
'NORTH PARK JUNIOR-SENIOR HIGH SCHOOL',9,7,6,6,7,12,8,6,11,5,99,0,0,0,0.222222,0.767677,0,0.010101,0.525,0.283636,0.495633,0.314,0.261
'SALIDA HIGH SCHOOL',5,6,6,7,6,6,2,1,5,1,306,0.006536,0.013072,0.003268,0.130719,0.816993,0.009804,0.019608,0.337,0.40483,0.432904,0.306,0.372
'MANZANOLA JUNIOR-SENIOR HIGH SCHOOL',5,6.810069,2,5,5,6.785469,3,5,3,3,82,0,0,0,0.743902,0.256098,0,0,0.841,0.357934,0.261006,0.208,0.188
'FORT MORGAN HIGH SCHOOL',5,5,5,6,6,6,6,5,6,6,862,0.006961,0.00116,0.042923,0.552204,0.393271,0,0.00348,0.585,0.301288,0.369388,0.196,0.172
'PRAIRIE VIEW HIGH SCHOOL',5,5,5,6,6,6,4,3,5,5,1541,0.008436,0.045425,0.047372,0.400389,0.467878,0.003245,0.027255,0.333,0.228351,0.654481,0.309,0.147
'ROCKY FORD JUNIOR/SENIOR HIGH SCHOOL',5,5,5,4,5,5,6,6,6,8,516.678349,0.009281,0.023713,0.03799,0.315076,0.586393,0.001955,0.025591,0.751,0.464777,0.21274,0.063,0.147
'STOBER ELEMENTARY SCHOOL',9,7,7,8,7,6,9,10,9,8,315,0.009524,0.019048,0.019048,0.263492,0.650794,0,0.038095,0.438,0.370111,0.568261,0.387,0.416
'ACADEMY CHARTER SCHOOL',9,9,9,10,9,9,10,10,12,8,700,0.002857,0.021429,0.002857,0.104286,0.835714,0,0.032857,0.08,0.187561,0.741109,0.435,0.426
'ROOSEVELT HIGH SCHOOL',5,6,6,6,6,6,4,1,6,4,725,0.002759,0.001379,0.008276,0.342069,0.635862,0,0.009655,0.324,0.130475,0.658744,0.296,0.268
'ADAMS ELEMENTARY SCHOOL',9,9,9,9,9,11,7,10,6,6,505,0.007921,0.089109,0.013861,0.170297,0.667327,0.00198,0.049505,0.335,0.254102,0.718477,0.441,0.355
'LASLEY ELEMENTARY SCHOOL',9,6,6,6,6,5,9,10,9,9,568,0.012324,0.079225,0.012324,0.672535,0.197183,0,0.026408,0.783,0.384211,0.513789,0.243,0.331
'LONGMONT ESTATES ELEMENTARY SCHOOL',9,9,9,9,9,8,8,7,6,10,507,0.003945,0.037475,0.015779,0.161736,0.747535,0.003945,0.029586,0.278,0.163212,0.757195,0.647,0.628
'TWAIN ELEMENTARY SCHOOL',9,9,9,9,8,9,6,6,5,10,343,0.005831,0.017493,0.014577,0.107872,0.813411,0,0.040816,0.157,0.239461,0.753581,0.573,0.57
'RANGEVIEW HIGH SCHOOL',5,6,5,6,6,6,7,8,6,6,2302,0.008688,0.064726,0.230235,0.293223,0.363162,0.004344,0.035621,0.393,0.282067,0.652763,0.311,0.314
'ROONEY RANCH ELEMENTARY SCHOOL',9,9,10,10,9,7,9,9,10,6,423,0,0.044917,0.004728,0.104019,0.803783,0,0.042553,0.13,0.213518,0.676677,0.486,0.492
'DILLON VALLEY ELEMENTARY SCHOOL',9,5,4,6,5,6,12,12,9,12,395,0,0.010127,0,0.564557,0.417722,0,0.007595,0.528,0.328906,0.670723,0.341,0.361
'WEST JEFFERSON ELEMENTARY SCHOOL',9,9,9,9,9,10,6,5,6,6,327,0.009174,0.018349,0.003058,0.070336,0.889908,0,0.009174,0.14,0.127775,0.783204,0.494,0.476
'EAGLE COUNTY CHARTER ACADEMY',9,12,11,9,12,12,7,6,7,6,299,0.003344,0.016722,0,0.036789,0.916388,0,0.026756,0,0.281844,0.65625,0.37,0.593
'KIPP SUNSHINE PEAK ACADEMY',9,5,5,5,5,6,13,13,13,9,369,0.00813,0.01084,0.00271,0.9729,0,0,0.00542,0.959,0.39783,0.292078,0.265,0.182
'ALAMOSA HIGH SCHOOL',5,6,5,6,6,6,4,4,5,4,576,0.001736,0.017361,0.003472,0.578125,0.394097,0.001736,0.003472,0.568,0.283465,0.360391,0.163,0.262
'VENTURE PREP',5,3,3,4,4,4,7,6,9,7,516.678349,0.009281,0.023713,0.03799,0.315076,0.586393,0.001955,0.025591,0.891,0.450721,0.521253,0.554,0.38
'ENGLEWOOD HIGH SCHOOL',5,5,5,6,5,5,5,6,6,3,621,0.009662,0.014493,0.043478,0.289855,0.628019,0.004831,0.009662,0.425,0.348404,0.637414,0.532,0.5
'PUEBLO COUNTY HIGH SCHOOL',5,6,6,6,7,6,3,3,3,5,838,0.00358,0.00358,0.00716,0.316229,0.657518,0,0.011933,0.357,0.228487,0.501679,0.371,0.183
'HINKLEY HIGH SCHOOL',5,5,5,6,5,5,8,9,7,6,2080,0.004327,0.046635,0.177404,0.583654,0.158654,0.005769,0.023558,0.676,0.393575,0.333094,0.114,0.136
'MITCHELL HIGH SCHOOL',5,5,5,6,5,5,6,6,6,6,1110,0.013514,0.022523,0.114414,0.403604,0.385586,0.000901,0.059459,0.625,0.423597,0.375515,0.172,0.243
'RIDGE VIEW ACADEMY CHARTER SCHOOL',5,1,2,2,2,2,10,8,10,12,333,0.015015,0.015015,0.27027,0.351351,0.348348,0,0,1,0,0.847716,0.316,0.398
'DOLORES HUERTA PREPARATORY HIGH SCHOOL',5,6,8,6,9,6,3,6,2,4,358,0.005587,0.019553,0.022346,0.751397,0.195531,0.002793,0.002793,0.623,0.621774,0.261756,0.133,0.206
'BENNETT ELEMENTARY SCHOOL',9,10,9,11,10,12,9,9,10,6,410,0.007317,0.002439,0.002439,0.182927,0.77561,0.002439,0.026829,0.424,0.320352,0.489195,0.494,0.503
'GALETON ELEMENTARY SCHOOL',9,9,9,10,9,6,9,7,12,6,146,0,0,0.020548,0.260274,0.719178,0,0,0.479,0,0,0.344841,0
'AGUILAR JUNIOR-SENIOR HIGH SCHOOL',5,3,3,3,4,3,7,9,6,6,46,0,0,0,0.543478,0.456522,0,0,0.826,0.550562,0.470395,0.124,0.257
'COLORADO VIRTUAL ACADEMY (COVA)',5,6,6,5,6,6,5,6,3,6,5034,0.016687,0.016091,0.031784,0.153357,0.781486,0,0.000596,0.191,0.218327,0.588498,0.222,0.145
'MESA ELEMENTARY SCHOOL',9,12,12,12,11,12,7,6,6,9,432,0.002315,0.081019,0.032407,0.636574,0.236111,0.00463,0.006944,0.782,0.30535,0.532962,0.246,0.208
'WITT ELEMENTARY SCHOOL',9,7,7,7,6,6,9,6,9,9,399,0.017544,0.017544,0.012531,0.175439,0.744361,0.005013,0.027569,0.376,0.254102,0.718477,0.441,0.355
'NORTHGLENN HIGH SCHOOL',5,5,5,5,5,5,6,6,6,6,1735,0.003458,0.014986,0.010951,0.519885,0.44611,0,0.004611,0.336,0.381455,0.357797,0.131,0.094
'MONTEZUMA-CORTEZ HIGH SCHOOL',5,6,6,6,6,6,5,3,6,4,721,0.216366,0.004161,0.008322,0.158114,0.578363,0,0.034674,0.484,0.374063,0.405075,0.22,0.259
'WEBER ELEMENTARY SCHOOL',9,8,7,9,7,9,9,9,9,8,425,0.007059,0.016471,0,0.188235,0.745882,0,0.042353,0.301,0.175322,0.768389,0.497,0.441
'DOLORES ELEMENTARY SCHOOL',9,7,8,8,7,6,8,6,9,9,283,0.031802,0.007067,0.003534,0.109541,0.837456,0,0.010601,0.445,0.090739,0.488614,0.268,0.319
'MAMMOTH HEIGHTS ELEMENTARY',9,9,9,10,9,6,9,7,9,9,802,0.006234,0.026185,0.018703,0.110973,0.786783,0.011222,0.0399,0.106,0.120185,0.822696,0.538,0.516
'HACKBERRY HILL ELEMENTARY SCHOOL',9,9,9,10,9,12,9,10,6,7,481,0.002079,0.018711,0.006237,0.172557,0.756757,0,0.043659,0.245,0.319211,0.572183,0.236,0.233
'IGNACIO HIGH SCHOOL',5,4,5,5,4,3,5,5,5,3,194,0.319588,0.005155,0.020619,0.268041,0.371134,0.005155,0.010309,0.443,0.296914,0.526352,0.186,0.197
'MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL',9,6,4,7,5,6,12,8,13,9,516.678349,0.009281,0.023713,0.03799,0.315076,0.586393,0.001955,0.025591,0.926,0.385658,0.234404,0.096,0.115
'NORMANDY ELEMENTARY SCHOOL',9,12,12,12,12,10,8,6,7,9,695,0.002878,0.025899,0,0.093525,0.843165,0,0.034532,0.092,0.245344,0.709545,0.432,0.41
'ACADEMIA ANA MARIE SANDOVAL',9,6,6,6,6,7,11,9,10,10,371,0.002695,0.013477,0.002695,0.603774,0.350404,0,0.026954,0.45,0.375954,0.526042,0.497,0.329
